2009-07-14  01:31:11         kernel32.dll.x86_64        6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:31:12         kernelbase.dll.x86_64      6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:31:13         netapi32.dll.x86_64        6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:32:10         ole32.dll.x86_64           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:32:13         ci.dll.x86_64              6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:32:14         oleaut32.dll.x86_64        6.1.7600.16385
2009-07-14  01:32:27         ntdll.dll.x86_64           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:32:30         rasapi32.dll.x86_64        6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:33:08         shell32.dll.x86_64         6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:33:26         secur32.dll.x86_64         6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:34:00         user32.dll.x86_64          6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:34:13         sspicli.dll.x86_64         6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:34:13         ws2_32.dll.x86_64          6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:34:14         sspisrv.dll.x86_64         6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:34:20         wtsapi32.dll.x86_64        6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:34:57         wsock32.dll.x86_64         6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:35:03         wintrust.dll.x86_64        6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-27  22:13:07         shell32.dll.x86            6.00.2900.5853   (xpsp_sp3_qfe.090727-1747)
2009-07-27  23:17:38         shell32.dll.x86            6.00.2900.5853   (xpsp_sp3_gdr.090727-1736)
2010-07-16  12:04:26         ole32.dll.x86              5.1.2600.6010    (xpsp_sp3_qfe.100712-1633)
2010-07-16  12:05:55         ole32.dll.x86              5.1.2600.6010    (xpsp_sp3_gdr.100712-1633)
2010-12-09  13:42:14         ntkrnlmp.exe.x86           5.1.2600.6055    (xpsp_sp3_gdr.101209-1647)
2010-12-09  13:47:15         ntkrnlmp.exe.x86           5.1.2600.6055    (xpsp_sp3_qfe.101209-1646)
2010-12-09  15:15:09         ntdll.dll.x86              5.1.2600.6055    (xpsp_sp3_gdr.101209-1647)
2010-12-09  15:15:41         ntdll.dll.x86              5.1.2600.6055    (xpsp_sp3_qfe.101209-1646)
2011-01-21  14:42:25         shell32.dll.x86            6.00.2900.6072   (xpsp_sp3_qfe.110121-1719)
2011-01-21  14:44:37         shell32.dll.x86            6.00.2900.6072   (xpsp_sp3_gdr.110121-1719)
2011-12-16  07:45:38         msvcrt.dll.x86             7.0.7601.17744   (win7sp1_gdr.111215-1535)
2012-02-29  14:08:49         wintrust.dll.x86           5.131.2600.6198  (xpsp_sp3_qfe.120229-1630)
2012-04-11  13:11:54         win32k.sys.x86             5.1.2600.6206    (xpsp_sp3_gdr.120411-1615)
2012-04-11  13:14:30         ntkrnlmp.exe.x86           5.1.2600.6206    (xpsp_sp3_gdr.120411-1615)
