# Intel microcode versions: CPUID, microcode version, release date.
# Official source: https://downloadcenter.intel.com/download/27337/Linux-Processor-Microcode-Data-File?v=t
#
# From a live Linux system:
#   bsdtar -Oxf /boot/intel-ucode.img | iucode_tool -tb -l - | sed 's/^\s*\S*: sig \(0x[0-9a-f]\+\), pf_mask 0x[0-9a-f]\+, \([0-9-]\+\), rev \(0x[0-9a-f]\+\), size \S\+$/\1 \3 \2/' | column -t
#
# From https://github.com/intel/Intel-Linux-Processor-Microcode-Data-Files:
#   find Intel-Linux-Processor-Microcode-Data-Files-microcode* -type f -exec iucode_tool -tb -l {} \; 2> /dev/null | grep -v -e '^microcode bundle ' -e '^selected microcodes:' | sed 's/^\s*\S*: sig \(0x[0-9a-f]\+\), pf_mask 0x[0-9a-f]\+, \([0-9-]\+\), rev \(0x[0-9a-f]\+\), size \S\+$/\1 \3 \2/' | column -t | LANG=C sort -u
#
# And from https://github.com/platomav/CPUMicrocodes

0x00000611       0xb27  1996-12-18
0x00000f60         0x5  2005-01-24
0x00000f61         0x7  2005-06-10
0x00000f61         0x8  2005-06-10
0x00000f62         0x5  2005-07-20
0x00000f62         0xf  2005-12-15
0x00000f63         0x5  2005-10-10
0x00000f64         0x2  2005-12-15
0x00000f64         0x4  2005-12-23
0x00000f65         0x8  2006-04-26
0x00000f65         0xb  2007-05-10
0x00000f66        0x1b  2006-03-10
0x00000f68         0x9  2006-07-14
0x00001632         0x2  1998-06-10
0x00010650         0x2  2005-09-18
0x00010650         0x2  2006-05-13
0x00010660         0x4  2006-06-12
0x00010661        0x12  2006-09-11
0x00010661        0x31  2007-03-16
0x00010661        0x33  2007-03-16
0x00010661        0x35  2007-03-16
0x00010661        0x36  2007-05-01
0x00010661        0x38  2007-09-19
0x00010661        0x42  2010-10-04
0x00010661        0x43  2010-10-04
0x00010661        0x44  2010-10-04
0x00010661        0x45  2010-10-04
0x00010670         0x5  2007-02-09
0x00010671       0x106  2007-03-29
0x00010674       0x404  2007-06-08
0x00010674       0x405  2007-07-20
0x00010676       0x60b  2008-01-19
0x00010676       0x60c  2008-01-19
0x00010676       0x60f  2010-09-29
0x00010676       0x612  2015-08-02
0x00010677       0x701  2007-10-26
0x00010677       0x703  2008-01-19
0x00010677       0x705  2008-04-28
0x00010677       0x70a  2010-09-29
0x00010677       0x70d  2015-08-02
0x0001067a       0xa07  2008-04-09
0x0001067a       0xa0b  2010-09-28
0x0001067a       0xa0e  2015-07-29
0x000106a4        0x10  2009-02-20
0x000106a4        0x11  2009-04-21
0x000106a4        0x12  2013-06-21
0x000106a4        0x13  2015-06-30
0x000106a5         0xf  2009-02-20
0x000106a5        0x11  2009-04-14
0x000106a5        0x15  2010-03-03
0x000106a5        0x19  2013-06-21
0x000106a5        0x1b  2015-06-27
0x000106a5        0x1d  2018-05-11
0x000106c1       0x109  2007-12-03
0x000106c2       0x211  2008-10-06
0x000106c2       0x212  2008-10-06
0x000106c2       0x213  2008-12-02
0x000106c2       0x217  2009-04-10
0x000106c2       0x218  2009-04-10
0x000106c2       0x219  2009-04-10
0x000106c9         0x7  2009-02-11
0x000106c9         0x7  2009-02-13
0x000106ca       0x106  2009-08-25
0x000106ca       0x107  2009-08-25
0x000106d0         0x5  2007-12-04
0x000106d1        0x21  2008-06-04
0x000106d1        0x26  2009-04-06
0x000106d1        0x29  2010-09-30
0x000106d1        0x2a  2015-08-03
0x000106e4         0x2  2010-03-08
0x000106e4         0x3  2013-07-01
0x000106e5         0x3  2009-05-29
0x000106e5         0x4  2010-04-05
0x000106e5         0x5  2011-09-01
0x000106e5         0x6  2013-07-01
0x000106e5         0x7  2013-08-20
0x000106e5         0x8  2015-06-30
0x000106e5         0xa  2018-05-08
0x00020652         0x6  2009-09-15
0x00020652         0x9  2009-11-12
0x00020652         0xc  2010-06-10
0x00020652         0xd  2011-09-01
0x00020652         0xe  2013-06-26
0x00020652         0xf  2015-06-30
0x00020652        0x11  2018-05-08
0x00020655         0x2  2010-03-01
0x00020655         0x3  2011-09-01
0x00020655         0x4  2013-06-28
0x00020655         0x5  2015-06-30
0x00020655         0x7  2018-04-23
0x00020661       0x104  2009-10-23
0x00020661       0x105  2011-07-18
0x000206a0        0x29  2009-11-02
0x000206a1         0x7  2009-12-23
0x000206a2        0x27  2010-05-02
0x000206a3         0x9  2010-06-09
0x000206a4        0x22  2010-04-14
0x000206a5         0x7  2010-07-22
0x000206a6        0x28  2010-09-15
